fecha,consumo
2013-07-29 20:00,458
2013-07-29 20:05,456
2013-07-29 20:10,456
2013-07-29 20:15,455
2013-07-29 20:20,456
2013-07-29 20:25,455
2013-07-29 20:30,457
2013-07-29 20:35,458
2013-07-29 20:40,459
2013-07-29 20:45,465
2013-07-29 20:50,469
2013-07-29 20:55,476
2013-07-29 21:00,480
2013-07-29 21:05,482
2013-07-29 21:10,490
2013-07-29 21:15,496
2013-07-29 21:20,500
2013-07-29 21:25,494
2013-07-29 21:30,493
2013-07-29 21:35,492
2013-07-29 21:40,491
2013-07-29 21:45,493
2013-07-29 21:50,488
2013-07-29 21:55,492
2013-07-29 22:00,483
2013-07-29 22:05,479
2013-07-29 22:10,473
2013-07-29 22:15,468
2013-07-29 22:20,462
2013-07-29 22:25,453
2013-07-29 22:30,451
2013-07-29 22:35,448
2013-07-29 22:40,432
2013-07-29 22:45,428
2013-07-29 22:50,422
2013-07-29 22:55,418
2013-07-29 23:00,416
2013-07-29 23:05,409
2013-07-29 23:10,404
2013-07-29 23:15,396
2013-07-29 23:20,397
2013-07-29 23:25,391
2013-07-29 23:30,386
2013-07-29 23:35,382
2013-07-29 23:40,379
2013-07-29 23:45,374
2013-07-29 23:50,371
2013-07-29 23:55,367
2013-07-30 00:00,362
2013-07-30 00:05,359
2013-07-30 00:10,355
2013-07-30 00:15,352
2013-07-30 00:20,348
2013-07-30 00:25,344
2013-07-30 00:30,340
2013-07-30 00:35,338
2013-07-30 00:40,335
2013-07-30 00:45,332
2013-07-30 00:50,328
2013-07-30 00:55,327
2013-07-30 01:00,324
2013-07-30 01:05,322
2013-07-30 01:10,318
2013-07-30 01:15,317
2013-07-30 01:20,316
2013-07-30 01:25,314
2013-07-30 01:30,313
2013-07-30 01:35,310
2013-07-30 01:40,308
2013-07-30 01:45,307
2013-07-30 01:50,305
2013-07-30 01:55,305
2013-07-30 02:00,302
2013-07-30 02:05,300
2013-07-30 02:10,299
2013-07-30 02:15,297
2013-07-30 02:20,296
2013-07-30 02:25,295
2013-07-30 02:30,295
2013-07-30 02:35,293
2013-07-30 02:40,292
2013-07-30 02:45,291
2013-07-30 02:50,291
2013-07-30 02:55,292
2013-07-30 03:00,291
2013-07-30 03:05,289
2013-07-30 03:10,290
2013-07-30 03:15,288
2013-07-30 03:20,288
2013-07-30 03:25,288
2013-07-30 03:30,288
2013-07-30 03:35,287
2013-07-30 03:40,285
2013-07-30 03:45,285
2013-07-30 03:50,284
2013-07-30 03:55,285
2013-07-30 04:00,286
2013-07-30 04:05,286
2013-07-30 04:10,285
2013-07-30 04:15,286
2013-07-30 04:20,286
2013-07-30 04:25,286
2013-07-30 04:30,287
2013-07-30 04:35,287
2013-07-30 04:40,285
2013-07-30 04:45,286
2013-07-30 04:50,285
2013-07-30 04:55,286
2013-07-30 05:00,288
2013-07-30 05:05,289
2013-07-30 05:10,289
2013-07-30 05:15,289
2013-07-30 05:20,289
2013-07-30 05:25,290
2013-07-30 05:30,292
2013-07-30 05:35,292
2013-07-30 05:40,294
2013-07-30 05:45,296
2013-07-30 05:50,298
2013-07-30 05:55,300
2013-07-30 06:00,303
2013-07-30 06:05,307
2013-07-30 06:10,311
2013-07-30 06:15,314
2013-07-30 06:20,317
2013-07-30 06:25,320
2013-07-30 06:30,321
2013-07-30 06:35,325
2013-07-30 06:40,328
2013-07-30 06:45,333
2013-07-30 06:50,336
2013-07-30 06:55,341
2013-07-30 07:00,347
2013-07-30 07:05,353
2013-07-30 07:10,357
2013-07-30 07:15,359
2013-07-30 07:20,355
2013-07-30 07:25,356
2013-07-30 07:30,359
2013-07-30 07:35,363
2013-07-30 07:40,367
2013-07-30 07:45,368
2013-07-30 07:50,369
2013-07-30 07:55,372
2013-07-30 08:00,380
2013-07-30 08:05,388
2013-07-30 08:10,391
2013-07-30 08:15,399
2013-07-30 08:20,405
2013-07-30 08:25,405
2013-07-30 08:30,407
2013-07-30 08:35,413
2013-07-30 08:40,417
2013-07-30 08:45,416
2013-07-30 08:50,424
2013-07-30 08:55,430
2013-07-30 09:00,433
2013-07-30 09:05,439
2013-07-30 09:10,445
2013-07-30 09:15,451
2013-07-30 09:20,456
2013-07-30 09:25,460
2013-07-30 09:30,464
2013-07-30 09:35,466
2013-07-30 09:40,468
2013-07-30 09:45,472
2013-07-30 09:50,475
2013-07-30 09:55,479
2013-07-30 10:00,484
2013-07-30 10:05,484
2013-07-30 10:10,486
2013-07-30 10:15,488
2013-07-30 10:20,488
2013-07-30 10:25,488
2013-07-30 10:30,489
2013-07-30 10:35,491
2013-07-30 10:40,492
2013-07-30 10:45,486
2013-07-30 10:50,491
2013-07-30 10:55,493
2013-07-30 11:00,494
2013-07-30 11:05,495
2013-07-30 11:10,494
2013-07-30 11:15,493
2013-07-30 11:20,495
2013-07-30 11:25,495
2013-07-30 11:30,496
2013-07-30 11:35,495
2013-07-30 11:40,495
2013-07-30 11:45,496
2013-07-30 11:50,498
2013-07-30 11:55,469
2013-07-30 12:00,501
2013-07-30 12:05,500
2013-07-30 12:10,501
2013-07-30 12:15,500
2013-07-30 12:20,503
2013-07-30 12:25,499
2013-07-30 12:30,499
2013-07-30 12:35,503
2013-07-30 12:40,505
2013-07-30 12:45,506
2013-07-30 12:50,507
2013-07-30 12:55,509
2013-07-30 13:00,509
2013-07-30 13:05,506
2013-07-30 13:10,508
2013-07-30 13:15,513
2013-07-30 13:20,512
2013-07-30 13:25,512
2013-07-30 13:30,512
2013-07-30 13:35,512
2013-07-30 13:40,512
2013-07-30 13:45,511
2013-07-30 13:50,509
2013-07-30 13:55,508
2013-07-30 14:00,507
2013-07-30 14:05,509
2013-07-30 14:10,506
2013-07-30 14:15,506
2013-07-30 14:20,505
2013-07-30 14:25,503
2013-07-30 14:30,501
2013-07-30 14:35,496
2013-07-30 14:40,495
2013-07-30 14:45,493
2013-07-30 14:50,487
2013-07-30 14:55,487
2013-07-30 15:00,485
2013-07-30 15:05,482
2013-07-30 15:10,481
2013-07-30 15:15,479
2013-07-30 15:20,478
2013-07-30 15:25,477
2013-07-30 15:30,473
2013-07-30 15:35,470
2013-07-30 15:40,467
2013-07-30 15:45,463
2013-07-30 15:50,460
2013-07-30 15:55,459
2013-07-30 16:00,462
2013-07-30 16:05,461
2013-07-30 16:10,466
2013-07-30 16:15,467
2013-07-30 16:20,466
2013-07-30 16:25,463
2013-07-30 16:30,464
2013-07-30 16:35,467
2013-07-30 16:40,467
2013-07-30 16:45,466
2013-07-30 16:50,463
2013-07-30 16:55,466
2013-07-30 17:00,466
2013-07-30 17:05,464
2013-07-30 17:10,466
2013-07-30 17:15,464
2013-07-30 17:20,465
2013-07-30 17:25,463
2013-07-30 17:30,466
2013-07-30 17:35,464
2013-07-30 17:40,468
2013-07-30 17:45,465
2013-07-30 17:50,464
2013-07-30 17:55,464
2013-07-30 18:00,465
2013-07-30 18:05,466
2013-07-30 18:10,465
2013-07-30 18:15,466
2013-07-30 18:20,466
2013-07-30 18:25,463
2013-07-30 18:30,464
2013-07-30 18:35,465
2013-07-30 18:40,465
2013-07-30 18:45,464
2013-07-30 18:50,464
2013-07-30 18:55,465
2013-07-30 19:00,464
2013-07-30 19:05,463
2013-07-30 19:10,462
2013-07-30 19:15,461
2013-07-30 19:20,462
2013-07-30 19:25,462
2013-07-30 19:30,460
2013-07-30 19:35,462
2013-07-30 19:40,461
2013-07-30 19:45,461
2013-07-30 19:50,460
2013-07-30 19:55,460
2013-07-30 20:00,461
2013-07-30 20:05,459
2013-07-30 20:10,457
2013-07-30 20:15,459
2013-07-30 20:20,458
2013-07-30 20:25,459
2013-07-30 20:30,460
2013-07-30 20:35,460
2013-07-30 20:40,463
2013-07-30 20:45,464
2013-07-30 20:50,464
2013-07-30 20:55,468
2013-07-30 21:00,472
2013-07-30 21:05,477
2013-07-30 21:10,483
2013-07-30 21:15,490
2013-07-30 21:20,493
2013-07-30 21:25,493
2013-07-30 21:30,493
2013-07-30 21:35,492
2013-07-30 21:40,492
2013-07-30 21:45,488
2013-07-30 21:50,484
2013-07-30 21:55,478
2013-07-30 22:00,476
2013-07-30 22:05,472
2013-07-30 22:10,463
2013-07-30 22:15,458
2013-07-30 22:20,453
2013-07-30 22:25,449
2013-07-30 22:30,444
2013-07-30 22:35,440
2013-07-30 22:40,434
2013-07-30 22:45,430
2013-07-30 22:50,426
2013-07-30 22:55,421
2013-07-30 23:00,418
2013-07-30 23:05,413
2013-07-30 23:10,407
2013-07-30 23:15,400
2013-07-30 23:20,398
2013-07-30 23:25,392
2013-07-30 23:30,389
2013-07-30 23:35,383
2013-07-30 23:40,381
2013-07-30 23:45,373
2013-07-30 23:50,370
2013-07-30 23:55,363
2013-07-31 00:00,361
2013-07-31 00:05,357
2013-07-31 00:10,354
2013-07-31 00:15,349
2013-07-31 00:20,348
2013-07-31 00:25,347
2013-07-31 00:30,342
2013-07-31 00:35,340
2013-07-31 00:40,337
2013-07-31 00:45,334
2013-07-31 00:50,331
2013-07-31 00:55,327
2013-07-31 01:00,323
2013-07-31 01:05,321
2013-07-31 01:10,318
2013-07-31 01:15,317
2013-07-31 01:20,315
2013-07-31 01:25,312
2013-07-31 01:30,310
2013-07-31 01:35,307
2013-07-31 01:40,306
2013-07-31 01:45,305
2013-07-31 01:50,303
2013-07-31 01:55,300
2013-07-31 02:00,299
2013-07-31 02:05,
2013-07-31 02:10,
2013-07-31 02:15,
2013-07-31 02:20,
